gametype,2,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,20,,,,,,,,,,
round,waveTypes,limit time,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
464,4 104,120,500,0,10390,6215,36,-2,160,5,1
465,5 104,120,500,0,10388,6213,36,-2,160,5,1
466,1 6 104,120,500,0,10394,6219,36,-2,160,5,1
467,7 104,120,500,0,10396,6221,36,-2,160,5,1
468,8 104,120,500,0,10398,6223,36,-2,160,5,1
469,9 104,120,500,0,10401,6226,36,-2,160,5,1
470,10 105 108,300,500,0,10480,6305,36,-2,160,6,1
471,11 104,120,500,0,10400,6225,36,-2,160,5,1
472,12 104,120,500,0,10403,6228,36,-2,160,5,1
473,13 104,120,500,0,10405,6230,36,-2,160,5,1
474,14 104,120,500,0,10408,6233,36,-2,160,5,1
475,15 104,120,500,0,10411,6236,36,-2,160,5,1
476,13 104,120,500,0,10413,6238,36,-2,160,5,1
477,14 104,120,500,0,10415,6240,36,-2,160,5,1
478,18 104,120,500,0,10418,6243,36,-2,160,5,1
479,18 104,120,500,0,10420,6245,36,-2,160,5,1
480,106 107,600,500,0,10380,6205,10,-2,200,6,1
481,1 104,120,500,0,10670,6320,36,-2,160,5,1
482,1 2 104,120,500,0,10673,6323,36,-2,160,5,1
483,1 2 3 104,120,500,0,10678,6328,36,-2,160,5,1
484,4 104,120,500,0,10680,6330,36,-2,160,5,1
485,5 104,120,500,0,10678,6328,36,-2,160,5,1
486,1 6 104,120,500,0,10684,6334,36,-2,160,5,1
487,7 104,120,500,0,10686,6336,36,-2,160,5,1
488,8 104,120,500,0,10688,6338,36,-2,160,5,1
489,9 104,120,500,0,10691,6341,36,-2,160,5,1
490,10 105 108,300,500,0,10770,6420,36,-2,160,6,1
491,11 104,120,500,0,10690,6340,36,-2,160,5,1
492,12 104,120,500,0,10693,6343,36,-2,160,5,1
493,13 104,120,500,0,10695,6345,36,-2,160,5,1
494,14 104,120,500,0,10698,6348,36,-2,160,5,1
495,15 104,120,500,0,10701,6351,36,-2,160,5,1
496,13 104,120,500,0,10703,6353,36,-2,160,5,1
497,14 104,120,500,0,10705,6355,36,-2,160,5,1
498,18 104,120,500,0,10708,6358,36,-2,160,5,1
499,18 104,120,500,0,10710,6360,36,-2,160,5,1
500,106 107,300,500,0,10670,6320,10,-2,200,6,1
